DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,ANDREWS,22390,"BLOCKA-34,N.",BLOCK A-34 N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6285805,32.50260785
8,ANDREWS,22390,"BLOCKA-34,N.",BLOCK A-34 N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6285805,32.50260785
8,LOVING,2556,TWOGEORGES,TWO GEORGES,BONESPRING,BONE SPRING,452BSPG,452.0,BSPG,PERMIAN LEONARDIAN,-103.40297204041241,31.658172332175216
8,LOVING,2556,TWOGEORGES,TWO GEORGES,BONESPRING,BONE SPRING,452BSPG,452.0,BSPG,PERMIAN LEONARDIAN,-103.40297204041241,31.658172332175216
8,PECOS,36069,WENTZ,WENTZ,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.37324165966459,31.00235322672256
8,PECOS,36069,WENTZ,WENTZ,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.37324165966459,31.00235322672256
8,PECOS,36069,WENTZ,WENTZ,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.37324165966459,31.00235322672256
8,PECOS,36069,WENTZ,WENTZ,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.37324165966459,31.00235322672256
8,ANDREWS,24900,WALLEN,WALLEN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6561292666667,32.3044292
8,CROCKETT,14151,TODD,TODD,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.51673307029499,30.85106210972131
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,CRANE,46705,"SANDHILLS,WEST",SAND HILLS WEST,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7570792549457,31.456211938467398
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,GLASSCOCK,17245,MCDOWELL,MCDOWELL,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.55866062605,32.02751998945
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
